layer,pos_0_mean,pos_0_ci_lower,pos_0_ci_upper,pos_0_std_dev,pos_1_mean,pos_1_ci_lower,pos_1_ci_upper,pos_1_std_dev,pos_2_mean,pos_2_ci_lower,pos_2_ci_upper,pos_2_std_dev
12,0.8488,0.8403533323020258,0.8572466676979742,0.009636389365317301,0.8516999999999999,0.8471487466341676,0.8562512533658322,0.005192301994298872,0.9308,0.9275249813435645,0.9340750186564354,0.003736308338453888
13,0.8435,0.8377655343753756,0.8492344656246245,0.0065421708935184345,0.8463,0.8426268951553216,0.8499731048446785,0.00419046536795141,0.9269000000000001,0.9237226229685479,0.9300773770314522,0.0036249137920783604
14,0.8449,0.8373627869341513,0.8524372130658486,0.008598837130682253,0.8411,0.8395717026467339,0.842628297353266,0.00174355957741628,0.9293000000000001,0.9250907887674769,0.9335092112325234,0.0048020828814171745
15,0.8452999999999999,0.8379841834905459,0.852615816509454,0.00834625664594616,0.8397,0.8366434052934679,0.8427565947065321,0.0034871191548325477,0.9372999999999999,0.9348114945850973,0.9397885054149026,0.002839013913315657
16,0.8414999999999999,0.8360119999999999,0.846988,0.006260990336999426,0.8342,0.8292446486300162,0.8391553513699839,0.005653317610041043,0.9435,0.9409899752989264,0.9460100247010736,0.0028635642126552574
17,0.8695,0.866770035897672,0.8722299641023281,0.003114482300479483,0.8329000000000001,0.8300542851864603,0.8357457148135399,0.0032465366161495736,0.9353,0.933791945889565,0.936808054110435,0.0017204650534084908
18,0.8728,0.8683945757071537,0.8772054242928463,0.005025932749251607,0.8888999999999999,0.8864931072313041,0.8913068927686957,0.0027459060435492118,0.9362,0.9340600964507717,0.9383399035492284,0.0024413111231467465
19,0.9172,0.9131966070390231,0.921203392960977,0.0045672748986677215,0.8981,0.8928818335787366,0.9033181664212634,0.005953150426454909,0.9534,0.951922830815377,0.9548771691846231,0.0016852299546352627
20,0.9239,0.9198036468902205,0.9279963531097796,0.004673328578219163,0.8859999999999999,0.880009962938345,0.8919900370616548,0.006833739825307944,0.9461999999999999,0.9444122049334445,0.9479877950665554,0.0020396078054371277
21,0.921,0.9141708694550478,0.9278291305449523,0.007791020472312996,0.8827999999999999,0.8776694402644545,0.8879305597355454,0.005853204250664778,0.9426,0.9401300889084827,0.9450699110915173,0.0028178005607210955
22,0.9652,0.9607684924461307,0.9696315075538692,0.005055689863905821,0.9152999999999999,0.9076004174658621,0.9229995825341377,0.008784076502399095,0.9635,0.960619400062487,0.966380599937513,0.00328633534503101
23,0.9662000000000001,0.9631940986044117,0.9692059013955884,0.003429285639896452,0.9506,0.9459502123919473,0.9552497876080527,0.005304714883949926,0.9874,0.9858467695599171,0.988953230440083,0.0017720045146669568
24,0.9816,0.9806239278715178,0.9825760721284823,0.0011135528725660013,0.9966000000000002,0.9959558782723741,0.9972441217276262,0.0007348469228349511,1.0,1.0,1.0,0.0
25,0.9858,0.9836244882900798,0.9879755117099203,0.0024819347291981735,0.9994,0.9989705855149159,0.999829414485084,0.0004898979485566361,1.0,1.0,1.0,0.0
26,0.9791000000000001,0.9773381791237473,0.9808618208762528,0.002009975124224182,0.9989000000000001,0.9987246922705642,0.9990753077294361,0.00019999999999997797,1.0,1.0,1.0,0.0
27,0.9774,0.9733698281922479,0.9814301718077522,0.004597825573029047,0.9978000000000001,0.9970878966367164,0.9985121033632839,0.0008124038404636022,1.0,1.0,1.0,0.0
28,0.9276,0.9255368730528637,0.9296631269471363,0.0023537204591879434,0.9922000000000001,0.9913871314989496,0.9930128685010505,0.0009273618495495784,0.9994,0.999224692270564,0.9995753077294359,0.00020000000000002237
