layer,pos_0_mean,pos_0_ci_lower,pos_0_ci_upper,pos_0_std_dev,pos_1_mean,pos_1_ci_lower,pos_1_ci_upper,pos_1_std_dev,pos_2_mean,pos_2_ci_lower,pos_2_ci_upper,pos_2_std_dev
19,0.9999,0.999724692270564,1.0,0.00019999999999997795,0.9892,0.9877704087297412,0.9906295912702587,0.0016309506430300213,0.9964999999999999,0.9960199000104144,0.9969800999895855,0.0005477225575051464
20,1.0,1.0,1.0,0.0,0.9862,0.9844338235648724,0.9879661764351275,0.0020149441679609935,0.9993000000000002,0.9989493845411282,0.9996506154588721,0.00040000000000000034
21,0.9987999999999999,0.9973176386405467,1.0,0.0016911534525287607,0.9868,0.9851695438675021,0.9884304561324979,0.0018601075237738315,0.9994,0.999224692270564,0.9995753077294359,0.00020000000000002237
22,0.9947000000000001,0.9924721429130218,0.9969278570869785,0.0025416530054277577,0.9813000000000001,0.9786326711488833,0.9839673288511168,0.003043024810940578,0.9995,0.9995,0.9995,0.0
23,0.9965999999999999,0.9957966390599488,0.9974033609400511,0.000916515138991164,0.9793000000000001,0.9768114945850974,0.9817885054149027,0.0028390139133156593,1.0,1.0,1.0,0.0
24,0.9926999999999999,0.9918871314989495,0.9935128685010504,0.000927361849549564,0.9800000000000001,0.9788912565670996,0.9811087434329006,0.0012649110640673528,0.9999,0.999724692270564,1.0,0.00019999999999997797
25,0.9934000000000001,0.9915950964568709,0.9952049035431292,0.002059126028197402,0.9797,0.9777676348171218,0.9816323651828782,0.0022045407685048492,1.0,1.0,1.0,0.0
26,0.9967,0.9954728458939481,0.9979271541060519,0.0013999999999999917,0.9850999999999999,0.9815244098668889,0.9886755901331108,0.004079215610874219,1.0,1.0,1.0,0.0
27,0.9955999999999999,0.9952720292695986,0.9959279707304013,0.00037416573867738855,0.9843,0.9805852958125848,0.9880147041874151,0.004237924020083415,1.0,1.0,1.0,0.0
28,0.9969000000000001,0.9958853331581254,0.9979146668418748,0.001157583690279041,0.9883000000000001,0.9855476128179342,0.9910523871820659,0.003140063693621532,1.0,1.0,1.0,0.0
29,0.9925,0.990020774314428,0.9949792256855721,0.0028284271247461888,0.9863,0.984407813117052,0.9881921868829479,0.0021587033144922904,1.0,1.0,1.0,0.0
30,0.9929,0.9907636899101488,0.9950363100898512,0.0024372115213907755,0.9846,0.9814226229685479,0.9877773770314522,0.0036249137920783834,1.0,1.0,1.0,0.0
31,0.9863,0.9828535195923958,0.9897464804076042,0.00393192065026748,0.9756,0.9740467695599172,0.9771532304400828,0.0017720045146669416,1.0,1.0,1.0,0.0
32,0.9769,0.9760061024667223,0.9777938975332777,0.0010198039027185643,0.9730000000000001,0.9712469227056403,0.9747530772943599,0.001999999999999996,0.9998000000000001,0.9995852927574581,1.0,0.00024494897427829084
