
--- Repetition 1/5 with Seed 42 ---
ADDITION Test Accuracy: Mean=0.2326, 95.0% CI=(0.2026, 0.2627), N_valid_runs=5
Cross-Task Accuracy (MULT): Mean=0.1816, 95.0% CI=(0.1552, 0.2080), N_valid_runs=5
Cross-Task Accuracy (SUB): Mean=0.0812, 95.0% CI=(0.0573, 0.1051), N_valid_runs=5

--- Layer 13 ---
ADDITION Test Accuracy: Mean=0.2574, 95.0% CI=(0.2121, 0.3026), N_valid_runs=5
Cross-Task Accuracy (MULT): Mean=0.2128, 95.0% CI=(0.1863, 0.2393), N_valid_runs=5
Cross-Task Accuracy (SUB): Mean=0.0932, 95.0% CI=(0.0205, 0.1659), N_valid_runs=5

--- Layer 14 ---
ADDITION Test Accuracy: Mean=0.2332, 95.0% CI=(0.2144, 0.2520), N_valid_runs=5
Cross-Task Accuracy (MULT): Mean=0.2096, 95.0% CI=(0.1843, 0.2349), N_valid_runs=5
Cross-Task Accuracy (SUB): Mean=0.0640, 95.0% CI=(0.0464, 0.0816), N_valid_runs=5

--- Layer 15 ---
ADDITION Test Accuracy: Mean=0.2362, 95.0% CI=(0.2074, 0.2651), N_valid_runs=5
Cross-Task Accuracy (MULT): Mean=0.2008, 95.0% CI=(0.1656, 0.2360), N_valid_runs=5
Cross-Task Accuracy (SUB): Mean=0.0768, 95.0% CI=(0.0422, 0.1114), N_valid_runs=5

--- Layer 16 ---
ADDITION Test Accuracy: Mean=0.2410, 95.0% CI=(0.2080, 0.2739), N_valid_runs=5
Cross-Task Accuracy (MULT): Mean=0.2004, 95.0% CI=(0.1751, 0.2257), N_valid_runs=5
Cross-Task Accuracy (SUB): Mean=0.0840, 95.0% CI=(0.0374, 0.1306), N_valid_runs=5

--- Layer 17 ---
ADDITION Test Accuracy: Mean=0.2610, 95.0% CI=(0.2276, 0.2945), N_valid_runs=5
Cross-Task Accuracy (MULT): Mean=0.1888, 95.0% CI=(0.1467, 0.2309), N_valid_runs=5
Cross-Task Accuracy (SUB): Mean=0.0556, 95.0% CI=(0.0341, 0.0771), N_valid_runs=5

--- Layer 18 ---
ADDITION Test Accuracy: Mean=0.2645, 95.0% CI=(0.2423, 0.2866), N_valid_runs=5
Cross-Task Accuracy (MULT): Mean=0.1968, 95.0% CI=(0.1557, 0.2379), N_valid_runs=5
Cross-Task Accuracy (SUB): Mean=0.0660, 95.0% CI=(0.0430, 0.0890), N_valid_runs=5

--- Layer 19 ---
ADDITION Test Accuracy: Mean=0.2910, 95.0% CI=(0.2658, 0.3161), N_valid_runs=5
Cross-Task Accuracy (MULT): Mean=0.1880, 95.0% CI=(0.1389, 0.2371), N_valid_runs=5
Cross-Task Accuracy (SUB): Mean=0.0492, 95.0% CI=(0.0202, 0.0782), N_valid_runs=5

--- Layer 20 ---
ADDITION Test Accuracy: Mean=0.2950, 95.0% CI=(0.2429, 0.3470), N_valid_runs=5
Cross-Task Accuracy (MULT): Mean=0.1860, 95.0% CI=(0.1443, 0.2277), N_valid_runs=5
Cross-Task Accuracy (SUB): Mean=0.0756, 95.0% CI=(0.0708, 0.0804), N_valid_runs=5

--- Layer 21 ---
ADDITION Test Accuracy: Mean=0.2953, 95.0% CI=(0.2749, 0.3157), N_valid_runs=5
Cross-Task Accuracy (MULT): Mean=0.1636, 95.0% CI=(0.1368, 0.1904), N_valid_runs=5
Cross-Task Accuracy (SUB): Mean=0.0756, 95.0% CI=(0.0559, 0.0953), N_valid_runs=5

--- Layer 22 ---
ADDITION Test Accuracy: Mean=0.4057, 95.0% CI=(0.3787, 0.4327), N_valid_runs=5
Cross-Task Accuracy (MULT): Mean=0.1272, 95.0% CI=(0.0976, 0.1568), N_valid_runs=5
Cross-Task Accuracy (SUB): Mean=0.0708, 95.0% CI=(0.0384, 0.1032), N_valid_runs=5

--- Layer 23 ---
ADDITION Test Accuracy: Mean=0.5315, 95.0% CI=(0.5075, 0.5556), N_valid_runs=5
Cross-Task Accuracy (MULT): Mean=0.1520, 95.0% CI=(0.0995, 0.2045), N_valid_runs=5
Cross-Task Accuracy (SUB): Mean=0.1244, 95.0% CI=(0.0599, 0.1889), N_valid_runs=5

--- Layer 24 ---
ADDITION Test Accuracy: Mean=0.7759, 95.0% CI=(0.7539, 0.7980), N_valid_runs=5
Cross-Task Accuracy (MULT): Mean=0.2548, 95.0% CI=(0.2006, 0.3090), N_valid_runs=5
Cross-Task Accuracy (SUB): Mean=0.4816, 95.0% CI=(0.4614, 0.5018), N_valid_runs=5

--- Layer 25 ---
ADDITION Test Accuracy: Mean=0.8565, 95.0% CI=(0.8478, 0.8652), N_valid_runs=5
Cross-Task Accuracy (MULT): Mean=0.4440, 95.0% CI=(0.4009, 0.4871), N_valid_runs=5
Cross-Task Accuracy (SUB): Mean=0.6212, 95.0% CI=(0.5862, 0.6562), N_valid_runs=5

--- Layer 26 ---
ADDITION Test Accuracy: Mean=0.8766, 95.0% CI=(0.8539, 0.8992), N_valid_runs=5
Cross-Task Accuracy (MULT): Mean=0.5372, 95.0% CI=(0.5052, 0.5692), N_valid_runs=5
Cross-Task Accuracy (SUB): Mean=0.6636, 95.0% CI=(0.6230, 0.7042), N_valid_runs=5

--- Layer 27 ---
ADDITION Test Accuracy: Mean=0.8825, 95.0% CI=(0.8603, 0.9047), N_valid_runs=5
Cross-Task Accuracy (MULT): Mean=0.5320, 95.0% CI=(0.5146, 0.5494), N_valid_runs=5
Cross-Task Accuracy (SUB): Mean=0.6716, 95.0% CI=(0.6486, 0.6946), N_valid_runs=5

--- Layer 28 ---
ADDITION Test Accuracy: Mean=0.8951, 95.0% CI=(0.8807, 0.9095), N_valid_runs=5
Cross-Task Accuracy (MULT): Mean=0.5252, 95.0% CI=(0.4805, 0.5699), N_valid_runs=5
Cross-Task Accuracy (SUB): Mean=0.7052, 95.0% CI=(0.6710, 0.7394), N_valid_runs=5
